brand,model,condition,warranty,screen_size,processor,ram,card,hard_driver,made_in,information,hard_driver_kind,price
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i9,32 GB,AMD,1 TB,Đang cập nhật,In trên bao bì,SSD,18.900.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i5,4 GB,NVIDIA,500 GB,Mỹ,In trên bao bì,HDD,1.800.000 đ
Microsoft,Surface Pro 8,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,19.900.000 đ
Apple,MacBook Pro M1,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Khác,16 GB,Onboard,1 TB,Mỹ,In trên bao bì,SSD,37.500.000 đ
Asus,TUF Gaming,Đã sử dụng (chưa sửa chữa),Còn bảo hành,15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,15.900.000 đ
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),4-6 tháng,17 - 18.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,6.900.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,4.700.000 đ
Dell,Latitude,Đã sử dụng (qua sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,NaN,256 GB,Mỹ,In trên bao bì,SSD,2.600.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,1 TB,Mỹ,In trên bao bì,SSD,17.900.000 đ
Microsoft,Surface Laptop,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i7,32 GB,Onboard,1 TB,Việt Nam,In trên bao bì,SSD,180.000.000 đ
Apple,MacBook Pro,Đã sử dụng (qua sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Khác,256 GB,Việt Nam,In trên bao bì,SSD,3.800.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,SSD,4.700.000 đ
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),4-6 tháng,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,512 GB,Nước khác,In trên bao bì,SSD,8.990.000 đ
Apple,MacBook Air,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,3.800.000 đ
Sony,Vaio Series,Đã sử dụng (qua sửa chữa),Bảo hành hãng,11 - 12.9 inch,Intel Core i5,8 GB,NVIDIA,500 GB,Mỹ,In trên bao bì,HDD,700.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,NaN,256 GB,Đang cập nhật,In trên bao bì,NaN,12.500.000 đ
Asus,TUF Gaming,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,SSD,13.650.000 đ
MSI,GF Series,Đã sử dụng (chưa sửa chữa),4-6 tháng,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,SSD,9.500.000 đ
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i9,32 GB,AMD,1 TB,Đang cập nhật,In trên bao bì,SSD,18.900.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i5,4 GB,NVIDIA,500 GB,Mỹ,In trên bao bì,HDD,1.800.000 đ
HP,Victus,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,SSD,12.900.000 đ
Hãng khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,800.000 đ
Microsoft,Surface Pro 8,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,19.900.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i5,8 GB,NaN,256 GB,Đang cập nhật,In trên bao bì,SSD,1.900.000 đ
Asus,TUF Gaming,Đã sử dụng (chưa sửa chữa),Còn bảo hành,15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,15.900.000 đ
Dell,G Series,Mới,7-12 tháng,15 - 16.9 inch,Intel Core i9,16 GB,NVIDIA,1 TB,Mỹ,In trên bao bì,SSD,32.000.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,1 TB,Mỹ,In trên bao bì,SSD,17.900.000 đ
Apple,MacBook Pro,Đã sử dụng (qua sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Khác,256 GB,Việt Nam,In trên bao bì,SSD,3.800.000 đ
Microsoft,Surface,Mới,7-12 tháng,13 - 14.9 inch,Khác,16 GB,Khác,1 TB,Mỹ,In trên bao bì,SSD,36.000.000 đ
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i9,32 GB,AMD,512 GB,Mỹ,In trên bao bì,SSD,17.900.000 đ
Apple,MacBook Pro M1,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Khác,16 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,28.500.000 đ
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,8.800.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,16 GB,AMD,512 GB,Mỹ,In trên bao bì,SSD,13.900.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i9,32 GB,NVIDIA,1 TB,Mỹ,In trên bao bì,SSD,20.500.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Khác,256 GB,Việt Nam,In trên bao bì,SSD,3.800.000 đ
MSI,GF Series,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i5,16 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,SSD,10.500.000 đ
Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,15.900.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Việt Nam,In trên bao bì,SSD,4.500.000 đ
Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Ryzen 5,8 GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,13.900.000 đ
Asus,TUF Gaming,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i5,16 GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,14.900.000 đ
Dell,XPS,Đã sử dụng (qua sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,11.500.000 đ
HP,Victus,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,SSD,12.900.000 đ
