brand,model,condition,warranty,screen_size,processor,ram,card,hard_driver,made_in,information,hard_driver_kind,price
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i3,8 GB,Onboard,256 GB,Unknown,In trên bao bì,SSD,4500000
Microsoft,Surface,Mới,3,13 - 14.9 inch,Intel Core i7,32 GB,AMD,1 TB,VietNam,In trên bao bì,,16900000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),1,11 - 12.9 inch,Intel Core i7,8 GB,Onboard,256 GB,US,In trên bao bì,SSD,3900000
Dell,Precision,Đã sử dụng (chưa sửa chữa),3,17 - 18.9 inch,Intel Xeon,> 32GB,NVIDIA,1 TB,US,In trên bao bì,SSD,26000000
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i3,8 GB,Onboard,256 GB,Japan,In trên bao bì,SSD,3500000
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Unknown,In trên bao bì,SSD,1450000
Dell,Precision,Mới,3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,US,In trên bao bì,,16900000
Microsoft,Surface,Mới,3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Trung Quốc,In trên bao bì,,44490000
Asus,ROG Strix Scar,Đã sử dụng (chưa sửa chữa),6,17 - 18.9 inch,Intel Core i9,16 GB,NVIDIA,1024,VietNam,In trên bao bì,SSD,29800000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,256 GB,US,In trên bao bì,SSD,6300000
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),0,15 - 16.9 inch,Intel Core i3,4 GB,AMD,750 GB,VietNam,In trên bao bì,SSD,1990000
Lenovo,Dòng Khác,Đã sử dụng (chưa sửa chữa),0,15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,1 TB,Korea,In trên bao bì,SSD,30500000
Dell,Inspiron,Mới,12,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,1 TB,Trung Quốc,In trên bao bì,SSD,18490000
Apple,MacBook Air,Đã sử dụng (qua sửa chữa),0,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,500 GB,US,In trên bao bì,SSD,7000000
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),1,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,SSD,6000000
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,21490000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,SSD,3300000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,US,In trên bao bì,SSD,5100000
Dell,XPS,Đã sử dụng (qua sửa chữa),0,13 - 14.9 inch,Ryzen 3,4 GB,Onboard,256 GB,Trung Quốc,In trên bao bì,SSD,1500000
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),0,15 - 16.9 inch,Intel Core i3,6 GB,Onboard,128 GB,VietNam,In trên bao bì,SSD,1450000
Acer,Aspire,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Celeron,2 GB,Onboard,256 GB,Unknown,In trên bao bì,,1300000
Apple,MacBook Pro M2,Đã sử dụng (chưa sửa chữa),0,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,256 GB,VietNam,In trên bao bì,,40000000
Dell,Precision,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,17990000
Lenovo,Dòng Khác,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,28500000
Microsoft,Surface,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,US,In trên bao bì,,9000000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,VietNam,In trên bao bì,SSD,6700000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,6990000
